"","p","MSE.train","MSE.val","cp.train","cp.val"
"1",4,0.0545160431546466,0.0550303939119527,13.5611085199024,11.4923855399823
"2",5,0.0546756304368037,0.0553373024688304,13.7422330981684,11.6990703461703
"3",6,0.0295993636527948,0.0316151894437609,7.442407029557,6.69572375768439
"4",6,0.00666859184076452,0.006799899121932,1.55343651883332,1.31521164637115
"5",7,0.00301125512527003,0.00312666939276484,0.754317036929928,0.658913107410512
"6",8,0.00396542492761764,0.00419608278828486,1.13950247577651,1.03092608288615
"7",5,0.00379465363494042,0.00377956945866172,0.675225393447884,0.520196220766825
"8",6,0.00314561678688603,0.00312431561923215,0.648683012393507,0.518262616319984
"9",7,0.00393536506153137,0.00397736381750208,0.991642505427881,0.843362759055292
"10",7,0.00208050960622632,0.00211010798058144,0.515287449981571,0.438499768730567
"11",8,0.00325911740196373,0.00305261868709104,0.95811197465539,0.782997391924466
"12",9,0.00207064979873636,0.00214720001117253,0.793035581931836,0.726822434058142
"13",6,0.00290290452909815,0.00300903410070513,0.586350817889958,0.493266994725358
"14",7,0.00280593522306257,0.00280789756643969,0.701587767314587,0.58979621818439
"15",8,0.00416848923061815,0.00434143993397239,1.19165247325384,1.06244277572733
"16",8,0.00261129331934609,0.00268443157600635,0.791740910046461,0.703166159457363
"17",9,0.165087644554114,0.182378024066264,42.6582759990716,39.804911752536
"18",10,0.00643778784921284,0.00626779975906542,2.05472310854166,1.76040111801049
"19",11,0.0497497185427515,0.0506775978757402,13.3180249419547,11.5295826084166
"20",3961,0.0039,0.0046,555.096674334559,555.09247837738
