"","p","MSE.train","MSE.val","cp.train","cp.val","acc.train","acc.val"
"1",2,0.277121351293288,0.281314743576536,8.99497477049453,7.3744549264321,0.859,0.853
"2",2.5,0.160643616744728,0.162770229576646,4.95499210954414,4.00680083796927,0.9235,0.924
"3",3,0.161318298613968,0.163807727118271,5.03880112469587,4.09686013529888,0.92575,0.924
"4",2.5,0.17718776779854,0.179139566127944,5.53734998563419,4.48012013892713,0.92075,0.919
"5",3,0.161863586152059,0.163127999420049,5.05799536993145,4.07720581162144,0.92425,0.925
"6",3.5,0.163129786887342,0.168291781440355,5.16262598356688,4.28657660816069,0.9235,0.924
"7",3,0.0723077585086383,0.0759470836047423,1.9056098889072,1.55636997925565,0.9725,0.972
"8",3.5,0.0246362957897182,0.0317134939473347,0.287623629830231,0.337415971159067,0.9885,0.987
"9",4,0.0690774879127818,0.101479186763346,1.91202375010352,2.41475076016327,0.9755,0.972
"10",7,0.547292453851688,0.550349090815137,19.1056595667157,15.7541826021939,0.763,0.763
"11",1340.66666666667,0.0284,0.0346,161.040727493804,161.041499902756,0.9892,0.986
